X1,X2,X3,X4,X5,X6,Output
43.5,90,2,20,40,0.52,30.64
43.5,90,2,20,40,0.99,27.52
43.5,90,2,20,40,0.99,29.44
43.5,90,2,20,40,0.99,35.37
43.5,90,2,20,40,2.38,28.31
43.5,90,2,20,40,2.38,31.51
43.5,90,2,20,40,2.38,34.8
43.5,90,2,20,40,5.91,21.38
43.5,90,2,20,40,5.91,22.19
43.5,90,2,20,40,5.91,27.8
43.5,90,2,20,40,8.29,16.8
43.5,90,2,20,40,8.29,20.8
43.5,90,2,20,40,8.29,21.15
43.5,90,2,20,40,10.43,16.45
43.5,90,2,20,40,10.43,17.66
43.5,90,2,20,40,10.43,19.52
43.5,112.5,2,25,50,0,21.5
43.5,112.5,2,25,50,0,22.93
43.5,112.5,2,25,50,0,24.74
43.5,112.5,2,25,50,0.59,26.84
43.5,112.5,2,25,50,0.59,28.69
43.5,112.5,2,25,50,0.59,34.49
43.5,112.5,2,25,50,0.99,33.31
43.5,112.5,2,25,50,0.99,39.5
43.5,112.5,2,25,50,0.99,40.1
43.5,112.5,2,25,50,1.76,20.86
43.5,112.5,2,25,50,1.76,20.94
43.5,112.5,2,25,50,1.76,25.44
43.5,112.5,2,25,50,5.42,13.37
43.5,112.5,2,25,50,5.42,16.06
43.5,112.5,2,25,50,5.42,17.08
43.5,112.5,2,25,50,8.05,12.46
43.5,112.5,2,25,50,8.05,12.83
43.5,112.5,2,25,50,8.05,13.7
43.5,112.5,2,25,50,12.3,8.21
43.5,112.5,2,25,50,12.3,8.81
25,94,2,12,60,0,18.37
35,94,2,12,60,0,22.13
45,94,2,12,60,0,26.51
25,94,2,12,60,1.76,17.75
25,94,2,12,60,4.14,16.91
25,94,2,12,60,12.93,13.81
35,94,2,12,60,0.51,21.82
35,94,2,12,60,3.36,20.08
35,94,2,12,60,5.05,19.05
45,94,2,12,60,1.11,24.82
45,94,2,12,60,2.05,23.79
45,94,2,12,60,4.79,20.76
45,92,2,16,80,6.02,19.42
30,64,2,12,102,0,15.86
30,64,2,12,102,2,16.25
30,64,2,12,102,2.5,16.38
30,64,2,12,102,2.6,17.81
30,64,2,12,102,4,18.59
30,64,2,12,102,5,17.03
30,64,2,12,102,5.5,16.38
30,64,2,12,102,6.5,13.52
30,64,2,12,102,7,10.79
